42:	the
39:	i
28:	a
23:	you
21:	am
21:	my
19:	like
13:	alpha
13:	omega
13:	of
12:	im
11:	fuck
11:	and
9:	is
8:	to
8:	up
8:	in
8:	me
7:	your
7:	they
7:	its
7:	it
7:	that
7:	saying
6:	as
6:	what
6:	all
6:	on
5:	yall
5:	we
5:	if
5:	out
5:	no
4:	at
4:	one
4:	god
4:	back
4:	when
4:	get
4:	real
4:	make
4:	or
3:	ah
3:	them
3:	youre
3:	where
3:	us
3:	mufucka
3:	this
3:	look
3:	not
3:	with
3:	come
3:	wanna
3:	kells
3:	bitch
2:	about
2:	bring
2:	these
2:	then
2:	ay
2:	discovered
2:	so
2:	shit
2:	em
2:	shits
2:	name
2:	know
2:	for
2:	just
2:	living
2:	go
2:	was
2:	better
2:	put
2:	give
2:	light
2:	man
2:	bought
2:	off
2:	wrong
2:	movement
2:	first
2:	hit
2:	his
2:	whether
2:	from
2:	blow
2:	king
2:	mothafuckin
2:	since
2:	can
2:	saw
1:	medulla
1:	thought
1:	bah
1:	yeah
1:	fucking
1:	hollering
1:	kettle
1:	music
1:	meds
1:	lobotomy
1:	let
1:	cuba
1:	reef
1:	using
1:	gang
1:	dawg
1:	metropolis
1:	want
1:	pack
1:	an
1:	sprinkle
1:	jitsu
1:	left
1:	evacuate
1:	doctors
1:	tryna
1:	eleven
1:	looking
1:	cigarettes
1:	denim
1:	be
1:	raps
1:	roll
1:	devil
1:	clevelands
1:	dead
1:	turn
1:	talking
1:	ruger
1:	two
1:	sleep
1:	how
1:	into
1:	see
1:	swinger
1:	muthafucka
1:	fred
1:	after
1:	cleveland
1:	lights
1:	stoney
1:	middle
1:	shells
1:	black
1:	enemies
1:	right
1:	religion
1:	call
1:	astigmatism
1:	face
1:	retract
1:	days
1:	quit
1:	interview
1:	quarter
1:	through
1:	bed
1:	but
1:	couple
1:	till
1:	ditch
1:	moved
1:	official
1:	had
1:	run
1:	down
1:	got
1:	whats
1:	uh
1:	leave
1:	taurus
1:	things
1:	talk
1:	smokey
1:	criticism
1:	mothafuckers
1:	mothafuckas
1:	koopa
1:	astronomy
1:	gone
1:	never
1:	shell
1:	tuba
1:	playing
1:	support
1:	full
1:	little
1:	beginning
1:	asking
1:	poppin
1:	house
1:	watching
1:	life
1:	jeans
1:	fatal
1:	shot
1:	sorry
1:	now
1:	statement
1:	trouble
1:	end
1:	news
1:	start
1:	war
1:	bone
1:	rhythm
1:	way
1:	home
1:	airplane
1:	hangers
1:	cannibalism
1:	practice
1:	rebel
1:	sack
1:	streets
1:	called
1:	shouldnt
1:	hed
1:	focus
1:	coretta
1:	competition
1:	bit
1:	three
1:	soon
1:	seconds
1:	nah
1:	homies
1:	hes
1:	jiu
1:	fat
1:	hate
1:	letters
1:	fear
1:	song
1:	zip
1:	issue
1:	players
1:	made
1:	hood
1:	bazookas
1:	leather
1:	drink
1:	chris
1:	instrumental
1:	didnt
1:	style
1:	flipping
1:	care
1:	blessing
1:	thats
1:	other
1:	flag
1:	save
1:	keef
1:	thinking
1:	mention
1:	lot
1:	mad
1:	world
1:	seeing
1:	sewer
1:	have
1:	rippin
1:	scooter
1:	loud
1:	finger
1:	means
1:	vegas
1:	knew
1:	positive
1:	kill
1:	hits
1:	driveway
1:	species
1:	report
1:	theyre
1:	dick
1:	bout
1:	before
1:	dad
1:	est
1:	lyricism
1:	body
1:	pray
1:	son
1:	only
1:	beat
1:	champagne
1:	letting
1:	cable
1:	took
1:	initials
1:	scuba
1:	ill
1:	nuisance
1:	paranoia
1:	friends
1:	followers
1:	superman
1:	dont
1:	who
1:	here
1:	heat
1:	bermuda
1:	everybody
1:	aint
1:	their
1:	mental
1:	bow
1:	citys
1:	boy
1:	ripped
1:	vodka
1:	sounds
1:	craig
1:	friday
1:	bust
1:	weed
1:	said
1:	hear
1:	greatest
1:	armageddon
1:	follow
1:	cousin
1:	any
1:	anubis
1:	minute
1:	acknowledge
1:	temple
1:	coming
1:	walk
